brand,modelNumber,price,color,specifications.display,specifications.camera,specifications.processor,specifications.storage,releaseDate,batteryCapacity,connectivity.wifi,connectivity.bluetooth,connectivity.cellular,weight,operatingSystem,isWaterResistant,additionalFeatures,accessories,warranty.validUntil,warranty.type,image
Samsung,Samsung Galaxy Y59628,1471,Green,LCD,48MP,Exynos 2100,64GB,Sat Mar 18 2023 14:04:36 GMT+0530 (India Standard Time),3072mAh,true,false,true,171,iOS,true,"amo,rem,solvo,volubilis","[{""name"":""Electronic Plastic Sausages"",""type"":""carmen"",""price"":37},{""name"":""Elegant Rubber Tuna"",""type"":""vester"",""price"":27},{""name"":""Licensed Rubber Bacon"",""type"":""curatio"",""price"":11}]",Wed Aug 07 2024 12:22:03 GMT+0530 (India Standard Time),voluptas,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjOTA3MjE5Ii8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
ZTE,ZTE ZTE Axon  SEX199927,760,Lunar Silver,AMOLED,12MP,A15 Bionic,128GB,Tue Jul 11 2023 12:59:48 GMT+0530 (India Standard Time),3669mAh,true,true,true,175,iOS,true,"cometes,atqui","[{""name"":""Luxurious Rubber Salad"",""type"":""suffragium"",""price"":57},{""name"":""Luxurious Steel Bacon"",""type"":""maxime"",""price"":99}]",Sat Feb 24 2024 11:01:02 GMT+0530 (India Standard Time),abbas,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjOGZkOWNlIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Oppo,Oppo Oppo  ProU154364,1620,Frosted Black,AMOLED,Dual 12MP,Exynos 2100,128GB,Wed Sep 13 2023 19:50:17 GMT+0530 (India Standard Time),4090mAh,true,true,true,179,Android,true,arbitro,"[{""name"":""Recycled Rubber Sausages"",""type"":""tredecim"",""price"":61}]",Mon Jul 22 2024 14:29:57 GMT+0530 (India Standard Time),repellendus,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjZjlkYWEyIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Huawei,Huawei Huawei Mate M339986,723,Lunar Silver,LCD,48MP,Exynos 2100,128GB,Wed Nov 22 2023 10:08:02 GMT+0530 (India Standard Time),3083mAh,true,true,false,151,iOS,false,"vomito,tracto","[{""name"":""Rustic Steel Pants"",""type"":""alo"",""price"":69}]",Wed Jul 24 2024 06:03:49 GMT+0530 (India Standard Time),auxilium,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjYzM3NmFmIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
BlackBerry,BlackBerry BlackBerry Evolve XS479918,546,Cloud White,LCD,48MP,Snapdragon 888,64GB,Thu Aug 24 2023 05:13:48 GMT+0530 (India Standard Time),4307mAh,true,false,false,184,Android,true,umerus,"[{""name"":""Small Cotton Pants"",""type"":""despecto"",""price"":80},{""name"":""Oriental Soft Fish"",""type"":""thesaurus"",""price"":46},{""name"":""Sleek Plastic Salad"",""type"":""explicabo"",""price"":19}]",Thu Oct 03 2024 05:06:52 GMT+0530 (India Standard Time),bellum,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjMDA0NmFhIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Oppo,Oppo Oppo Reno X314671,1237,Frosted Black,LCD,48MP,Exynos 2100,64GB,Sun Apr 23 2023 17:03:50 GMT+0530 (India Standard Time),4251mAh,true,false,true,165,Android,false,"bibo,ubi,combibo,asperiores,subiungo","[{""name"":""Awesome Bronze Gloves"",""type"":""cariosus"",""price"":89},{""name"":""Tasty Metal Sausages"",""type"":""desolo"",""price"":72},{""name"":""Tasty Cotton Pants"",""type"":""molestias"",""price"":15}]",Sat Mar 02 2024 16:11:54 GMT+0530 (India Standard Time),adulatio,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjNmRkZDY5Ii8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Xiaomi,Xiaomi Poco Y236577,1917,Cloud White,AMOLED,Triple 48MP,A15 Bionic,256GB,Sun Dec 03 2023 05:10:01 GMT+0530 (India Standard Time),4505mAh,false,true,true,167,Android,false,"corrumpo,tabernus,infit,depono,degenero","[{""name"":""Sleek Plastic Bacon"",""type"":""adhuc"",""price"":14}]",Tue Mar 19 2024 01:38:42 GMT+0530 (India Standard Time),accommodo,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjY2QzMmNiIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Mi,Mi  PlayQ411432,862,Cloud White,AMOLED,Triple 48MP,A15 Bionic,128GB,Sat Aug 12 2023 10:49:31 GMT+0530 (India Standard Time),3760mAh,false,false,true,165,iOS,true,"amet,vero,tabernus,victoria","[{""name"":""Awesome Rubber Car"",""type"":""architecto"",""price"":90},{""name"":""Small Cotton Sausages"",""type"":""varietas"",""price"":72}]",Sun Dec 08 2024 18:32:23 GMT+0530 (India Standard Time),vel,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjZGRiZjRhIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Asus,Asus Asus ROG Phone N64173,944,Lunar Silver,AMOLED,Dual 12MP,A15 Bionic,64GB,Wed Sep 06 2023 01:56:59 GMT+0530 (India Standard Time),3965mAh,false,false,false,156,Android,true,"abscido,cado,benigne,celebrer,attonbitus","[{""name"":""Ergonomic Frozen Keyboard"",""type"":""delicate"",""price"":24},{""name"":""Rustic Rubber Chair"",""type"":""admoveo"",""price"":52},{""name"":""Small Steel Shoes"",""type"":""crepusculum"",""price"":46}]",Fri Mar 08 2024 22:42:36 GMT+0530 (India Standard Time),bos,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjYTZkZGZkIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Huawei,Huawei Huawei Mate B277283,860,Pacific Blue,AMOLED,Triple 48MP,Exynos 2100,128GB,Thu Jun 15 2023 12:26:19 GMT+0530 (India Standard Time),4691mAh,false,false,false,194,Android,false,"defungo,apostolus,umbra,nisi","[{""name"":""Tasty Granite Soap"",""type"":""delibero"",""price"":78}]",Sun Aug 04 2024 12:27:12 GMT+0530 (India Standard Time),tardus,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjZGViN2VlIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
