brand,modelNumber,price,color,specifications.display,specifications.camera,specifications.processor,specifications.storage,releaseDate,batteryCapacity,connectivity.wifi,connectivity.bluetooth,connectivity.cellular,weight,operatingSystem,isWaterResistant,additionalFeatures,accessories,warranty.validUntil,warranty.type,image
Xiaomi,Xiaomi Mi  Pro[197071,1212,Mystic Bronze,AMOLED,Dual 12MP,Snapdragon 888,128GB,Fri May 05 2023 18:34:34 GMT+0530 (India Standard Time),4863mAh,false,false,false,152,Android,true,"constans,corrigo,verbera,acervus","[{""name"":""Sleek Granite Sausages"",""type"":""beatae"",""price"":100},{""name"":""Handmade Soft Pizza"",""type"":""uredo"",""price"":59}]",Sun Aug 18 2024 02:24:12 GMT+0530 (India Standard Time),coniecto,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjZTg3M2E5Ii8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Xiaomi,Xiaomi Mi NoteLiteU321093,1328,Phantom Gray,AMOLED,48MP,Exynos 2100,64GB,Tue Jan 02 2024 11:42:53 GMT+0530 (India Standard Time),4189mAh,true,false,true,154,Android,false,"aliquam,velociter,supra,amplitudo,statim","[{""name"":""Fantastic Concrete Bike"",""type"":""tenus"",""price"":93},{""name"":""Practical Rubber Chair"",""type"":""patrocinor"",""price"":84},{""name"":""Handmade Wooden Shoes"",""type"":""ascit"",""price"":28}]",Mon Feb 03 2025 05:51:23 GMT+0530 (India Standard Time),carmen,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjMWRmZmVhIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
HTC,HTC  J227193,1529,Arctic Blue,Super Retina XDR,48MP,A15 Bionic,64GB,Wed Sep 20 2023 04:27:50 GMT+0530 (India Standard Time),3592mAh,false,false,true,157,iOS,false,admitto,"[{""name"":""Elegant Frozen Chips"",""type"":""celebrer"",""price"":21},{""name"":""Tasty Frozen Car"",""type"":""antea"",""price"":52},{""name"":""Awesome Wooden Tuna"",""type"":""claro"",""price"":93}]",Fri Nov 15 2024 11:06:38 GMT+0530 (India Standard Time),demulceo,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjZTFmN2U1Ii8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
ZTE,ZTE ZTE Blade Y421565,1884,Mystic Bronze,AMOLED,Dual 12MP,Snapdragon 888,64GB,Tue Mar 14 2023 22:41:28 GMT+0530 (India Standard Time),4756mAh,true,false,true,179,Android,true,"defetiscor,avaritia,tui,vitium","[{""name"":""Awesome Frozen Bacon"",""type"":""apud"",""price"":62},{""name"":""Refined Metal Hat"",""type"":""supellex"",""price"":46}]",Thu Sep 05 2024 21:35:25 GMT+0530 (India Standard Time),vox,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjYzFiMzBlIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Google,Google Pixel F488703,1731,Phantom Gray,AMOLED,48MP,Exynos 2100,256GB,Wed Oct 04 2023 10:09:54 GMT+0530 (India Standard Time),3280mAh,false,true,true,182,iOS,false,"acerbitas,tabula,vesica","[{""name"":""Rustic Wooden Shoes"",""type"":""repudiandae"",""price"":89}]",Mon Nov 25 2024 19:40:05 GMT+0530 (India Standard Time),decerno,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjZDhhZGU4Ii8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Oppo,Oppo  Reno J188600,941,Phantom Gray,Super Retina XDR,Triple 48MP,A15 Bionic,64GB,Wed Aug 02 2023 11:37:10 GMT+0530 (India Standard Time),4790mAh,true,true,false,187,Android,true,"caritas,delectatio,minus","[{""name"":""Practical Granite Pants"",""type"":""decens"",""price"":58},{""name"":""Modern Soft Shoes"",""type"":""circumvenio"",""price"":74}]",Wed Feb 28 2024 20:41:01 GMT+0530 (India Standard Time),taceo,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjYjljYjBlIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
BlackBerry,BlackBerry BlackBerry Evolve XP268212,949,Sorta Sage,AMOLED,48MP,Snapdragon 888,256GB,Wed Aug 16 2023 09:53:47 GMT+0530 (India Standard Time),4870mAh,true,false,false,174,iOS,false,"valeo,libero,fugit,ademptio","[{""name"":""Ergonomic Wooden Soap"",""type"":""cursim"",""price"":98},{""name"":""Small Rubber Pants"",""type"":""quo"",""price"":13}]",Sun Sep 15 2024 00:56:45 GMT+0530 (India Standard Time),curriculum,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjZjBjODkxIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Nokia,Nokia Nokia J293345,1215,Arctic Blue,AMOLED,Dual 12MP,Exynos 2100,128GB,Wed Feb 22 2023 05:03:25 GMT+0530 (India Standard Time),4298mAh,true,false,true,175,Android,false,"ex,derelinquo,baiulus","[{""name"":""Sleek Granite Gloves"",""type"":""abutor"",""price"":12},{""name"":""Small Wooden Tuna"",""type"":""odio"",""price"":90}]",Sat Aug 24 2024 02:10:28 GMT+0530 (India Standard Time),animus,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjN2UwMzFmIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Asus,Asus Asus ROG Phone T150795,899,Red,AMOLED,Triple 48MP,A15 Bionic,256GB,Mon Sep 18 2023 14:08:49 GMT+0530 (India Standard Time),4926mAh,true,true,false,180,Android,false,"uxor,vallum,curto,conservo","[{""name"":""Oriental Cotton Car"",""type"":""vehemens"",""price"":30},{""name"":""Luxurious Steel Bacon"",""type"":""vobis"",""price"":81}]",Sun Jan 05 2025 09:46:13 GMT+0530 (India Standard Time),adnuo,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjZjk0ZGM0Ii8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
Apple,Apple iPhone H417611,1685,Cloud White,Super Retina XDR,12MP,Snapdragon 888,256GB,Mon Mar 27 2023 19:44:13 GMT+0530 (India Standard Time),4135mAh,false,false,true,168,iOS,false,"acer,nobis,conservo","[{""name"":""Elegant Wooden Tuna"",""type"":""virga"",""price"":81}]",Mon Feb 19 2024 22:37:12 GMT+0530 (India Standard Time),suscipio,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgYmFzZVByb2ZpbGU9ImZ1bGwiIHdpZHRoPSI2NDAiIGhlaWdodD0iNDgwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjYjFjNzZlIi8+PHRleHQgeD0iMzIwIiB5PSIyNDAiIGZvbnQtc2l6ZT0iMjAiIGFsaWdubWVudC1iYXNlbGluZT0ibWlkZGxlIiB0ZXh0LWFuY2hvcj0ibWlkZGxlIiBmaWxsPSJ3aGl0ZSI+NjQweDQ4MDwvdGV4dD48L3N2Zz4="
